"HS2","HS2ID","HS4","HS4ID","Section","SectionID","TradeValue","Year"
"Oil seeds and oleaginous fruits",212,"Other Oily Seeds",21207,"Vegetable Products",2,3363751,2019
"Oil seeds and oleaginous fruits",212,"Oil Seed Flower",21208,"Vegetable Products",2,28057,2019
"Oil seeds and oleaginous fruits",212,"Sowing Seeds",21209,"Vegetable Products",2,12188297,2019
"Oil seeds and oleaginous fruits",212,"Perfume Plants",21211,"Vegetable Products",2,2133614,2019
"Oil seeds and oleaginous fruits",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,948770,2019
"Oil seeds and oleaginous fruits",212,"Cereal Straws",21213,"Vegetable Products",2,1291,2019
"Exports",1,"Oil seeds and oleaginous fruits",212,"Oil seeds and oleaginous fruits",1,1,2019
"Lac; gums, resins and other vegetable saps and extracts",213,"Insect Resins",21301,"Vegetable Products",2,49587,2019
"Lac; gums, resins and other vegetable saps and extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,2896268,2019
"Exports",1,"Lac; gums, resins and other vegetable saps and extracts",213,"Lac; gums, resins and other vegetable saps and extracts",1,1,2019
"Vegetable plaiting materials",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,17926,2019
"Vegetable plaiting materials",214,"Other Vegetable Products",21404,"Vegetable Products",2,518071,2019
"Exports",1,"Vegetable plaiting materials",214,"Vegetable plaiting materials",1,1,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,440404,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Fish Oil",31504,"Animal and Vegetable Bi-Products",3,858173,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,25114,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Other Animal Fats",31506,"Animal and Vegetable Bi-Products",3,22814,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,9317554,2019
